18.3 4.7 16.0 20.7 26.0 13.7
10.7 17.3 31.3 3.7 5.7 27.7
27.7 4.3 20.3 23.0 14.7 13.0
25.7 11.3 11.3 0.7 31.0 8.0
8.3 9.3 16.3 30.7 1.0 2.7
14.7 29.0 21.0 20.7 7.7 32.7
30.0 6.7 2.0 26.3 10.7 10.0
24.3 30.3 13.7 12.0 0.0 31.0
21.0 32.0 5.7 18.7 10.0 27.0
12.3 18.7 11.7 30.0 23.0 11.7
10.7 18.0 29.0 20.3 27.0 33.0
7.0 25.7 15.7 18.0 33.0 12.0
31.0 2.3 28.3 4.0 22.3 5.3
21.7 17.7 9.0 19.7 32.7 31.3
7.7 2.3 19.7 6.3 25.0 4.3
15.7 22.7 26.3 27.7 27.0 28.7
17.0 16.3 28.0 32.0 23.7 31.3
7.7 33.0 3.0 5.7 18.3 23.3
16.3 26.3 20.7 17.0 2.0 32.0
18.7 5.3 17.0 6.0 3.7 7.7
32.7 0.0 26.0 26.7 25.0 17.7
25.7 10.0 19.3 13.7 28.7 5.7
31.0 13.3 20.7 12.3 30.7 6.7
10.0 28.7 21.0 15.0 23.3 33.0
0.7 21.0 29.7 13.7 31.7 28.0
25.7 3.3 29.0 8.0 0.7 28.7
14.3 5.7 27.3 7.0 17.3 4.0
11.0 21.7 32.7 12.7 6.3 3.3
17.3 5.7 22.7 8.7 20.3 1.7
13.0 31.3 13.3 33.0 16.0 6.7
19.3 26.3 26.3 23.0 23.7 21.3
2.0 4.0 32.3 1.3 5.3 32.7
26.3 0.0 13.3 27.7 16.3 21.7
17.0 4.3 9.7 28.0 20.7 9.7
20.0 11.3 4.0 0.3 4.0 10.7
12.0 30.7 5.0 14.7 27.3 20.0
2.0 3.3 24.0 7.3 20.7 20.7
23.0 32.7 1.0 11.3 5.3 20.3
7.0 8.3 0.7 8.0 31.0 15.0
27.3 6.0 0.7 26.3 17.0 24.3
31.0 19.0 25.0 17.3 25.7 9.0
3.3 20.3 31.0 26.3 24.7 22.3
2.0 15.0 31.3 22.3 22.7 21.0
0.7 18.0 2.7 10.7 28.7 16.3
20.0 17.3 7.3 0.3 6.3 24.3
26.0 23.3 29.0 29.0 13.0 28.7
0.0 22.0 29.7 20.3 9.3 14.0
28.3 12.0 27.0 15.0 16.3 26.7
32.0 10.3 27.3 10.7 29.3 5.0
23.3 31.7 1.0 17.7 10.3 16.0
