55.0 14.0 48.0 62.0 78.0 41.0
32.0 52.0 94.0 11.0 17.0 83.0
83.0 13.0 61.0 69.0 44.0 39.0
77.0 34.0 34.0 2.0 93.0 24.0
25.0 28.0 49.0 92.0 3.0 8.0
44.0 87.0 63.0 62.0 23.0 98.0
90.0 20.0 6.0 79.0 32.0 30.0
73.0 91.0 41.0 36.0 0.0 93.0
63.0 96.0 17.0 56.0 30.0 81.0
37.0 56.0 35.0 90.0 69.0 35.0
32.0 54.0 87.0 61.0 81.0 99.0
21.0 77.0 47.0 54.0 99.0 36.0
93.0 7.0 85.0 12.0 67.0 16.0
65.0 53.0 27.0 59.0 98.0 94.0
23.0 7.0 59.0 19.0 75.0 13.0
47.0 68.0 79.0 83.0 81.0 86.0
51.0 49.0 84.0 96.0 71.0 94.0
23.0 99.0 9.0 17.0 55.0 70.0
49.0 79.0 62.0 51.0 6.0 96.0
56.0 16.0 51.0 18.0 11.0 23.0
98.0 0.0 78.0 80.0 75.0 53.0
77.0 30.0 58.0 41.0 86.0 17.0
93.0 40.0 62.0 37.0 92.0 20.0
30.0 86.0 63.0 45.0 70.0 99.0
2.0 63.0 89.0 41.0 95.0 84.0
77.0 10.0 87.0 24.0 2.0 86.0
43.0 17.0 82.0 21.0 52.0 12.0
33.0 65.0 98.0 38.0 19.0 10.0
52.0 17.0 68.0 26.0 61.0 5.0
39.0 94.0 40.0 99.0 48.0 20.0
58.0 79.0 79.0 69.0 71.0 64.0
6.0 12.0 97.0 4.0 16.0 98.0
79.0 0.0 40.0 83.0 49.0 65.0
51.0 13.0 29.0 84.0 62.0 29.0
60.0 34.0 12.0 1.0 12.0 32.0
36.0 92.0 15.0 44.0 82.0 60.0
6.0 10.0 72.0 22.0 62.0 62.0
69.0 98.0 3.0 34.0 16.0 61.0
21.0 25.0 2.0 24.0 93.0 45.0
82.0 18.0 2.0 79.0 51.0 73.0
93.0 57.0 75.0 52.0 77.0 27.0
10.0 61.0 93.0 79.0 74.0 67.0
6.0 45.0 94.0 67.0 68.0 63.0
2.0 54.0 8.0 32.0 86.0 49.0
60.0 52.0 22.0 1.0 19.0 73.0
78.0 70.0 87.0 87.0 39.0 86.0
0.0 66.0 89.0 61.0 28.0 42.0
85.0 36.0 81.0 45.0 49.0 80.0
96.0 31.0 82.0 32.0 88.0 15.0
70.0 95.0 3.0 53.0 31.0 48.0
