11.0 2.8 9.6 12.4 15.6 8.2
6.4 10.4 18.8 2.2 3.4 16.6
16.6 2.6 12.2 13.8 8.8 7.8
15.4 6.8 6.8 0.4 18.6 4.8
5.0 5.6 9.8 18.4 0.6 1.6
8.8 17.4 12.6 12.4 4.6 19.6
18.0 4.0 1.2 15.8 6.4 6.0
14.6 18.2 8.2 7.2 0.0 18.6
12.6 19.2 3.4 11.2 6.0 16.2
7.4 11.2 7.0 18.0 13.8 7.0
6.4 10.8 17.4 12.2 16.2 19.8
4.2 15.4 9.4 10.8 19.8 7.2
18.6 1.4 17.0 2.4 13.4 3.2
13.0 10.6 5.4 11.8 19.6 18.8
4.6 1.4 11.8 3.8 15.0 2.6
9.4 13.6 15.8 16.6 16.2 17.2
10.2 9.8 16.8 19.2 14.2 18.8
4.6 19.8 1.8 3.4 11.0 14.0
9.8 15.8 12.4 10.2 1.2 19.2
11.2 3.2 10.2 3.6 2.2 4.6
19.6 0.0 15.6 16.0 15.0 10.6
15.4 6.0 11.6 8.2 17.2 3.4
18.6 8.0 12.4 7.4 18.4 4.0
6.0 17.2 12.6 9.0 14.0 19.8
0.4 12.6 17.8 8.2 19.0 16.8
15.4 2.0 17.4 4.8 0.4 17.2
8.6 3.4 16.4 4.2 10.4 2.4
6.6 13.0 19.6 7.6 3.8 2.0
10.4 3.4 13.6 5.2 12.2 1.0
7.8 18.8 8.0 19.8 9.6 4.0
11.6 15.8 15.8 13.8 14.2 12.8
1.2 2.4 19.4 0.8 3.2 19.6
15.8 0.0 8.0 16.6 9.8 13.0
10.2 2.6 5.8 16.8 12.4 5.8
12.0 6.8 2.4 0.2 2.4 6.4
7.2 18.4 3.0 8.8 16.4 12.0
1.2 2.0 14.4 4.4 12.4 12.4
13.8 19.6 0.6 6.8 3.2 12.2
4.2 5.0 0.4 4.8 18.6 9.0
16.4 3.6 0.4 15.8 10.2 14.6
18.6 11.4 15.0 10.4 15.4 5.4
2.0 12.2 18.6 15.8 14.8 13.4
1.2 9.0 18.8 13.4 13.6 12.6
0.4 10.8 1.6 6.4 17.2 9.8
12.0 10.4 4.4 0.2 3.8 14.6
15.6 14.0 17.4 17.4 7.8 17.2
0.0 13.2 17.8 12.2 5.6 8.4
17.0 7.2 16.2 9.0 9.8 16.0
19.2 6.2 16.4 6.4 17.6 3.0
14.0 19.0 0.6 10.6 6.2 9.6
